step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
10.0,32,0,0,0,32,0,0.0,0.0,13.39091521692372,0,0.0,0.9661831171904909,0,0.0,0.9728631453227748,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9705393120324334,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9657735265908272,0,0.0,0.9680600234047987,0,0.0,0.9655325903817594,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9680620201845894,0,0.0,1.0,0,0.0
20.0,56,0,6,0,56,0,19.0,0.3392857142857143,11.866472878893594,3,9.0,0.653390506408537,0,0.0,0.9510589638603435,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9680326212435659,0,0.0,0.9283276804817486,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9629455980158271,3,10.0,0.5122265619284944,0,0.0,0.9756103558151416,0,0.0,0.9681682328658924,0,0.0,0.980428016397314,0,0.0,1.0,0,0.0,0.9843277722509697,0,0.0,0.9253162922238442,6,19.0
30.0,80,0,25,0,80,0,123.0,1.5375,7.325934554340753,2,6.0,0.6447614506603464,2,5.0,0.5693318294941703,0,0.0,1.0,0,0.0,1.0,2,8.0,0.4531313659407394,2,8.0,0.11340501909671818,0,0.0,1.0,0,0.0,1.0,2,5.0,0.557399577576272,6,57.0,0.2827342670970572,2,14.0,0.6413732282771659,3,14.0,0.5396467725188275,2,7.0,0.516844528675089,0,0.0,1.0,0,0.0,0.9605947882497492,2,8.0,0.5681593959125494,25,132.0
40.0,112,0,23,0,112,0,190.0,1.6964285714285714,8.980126609542422,2,5.0,0.7235042381562684,4,49.0,0.6290525293599921,0,4.0,0.9301628620459961,0,0.0,1.0,0,0.0,0.9445886317128982,0,6.0,0.9021460259038864,0,8.0,0.9296701384051504,0,0.0,1.0,0,0.0,0.958319331075481,0,5.0,0.6406821271051661,5,43.0,0.4456462856960583,4,45.0,0.38466884201698376,0,5.0,0.7821438266652609,0,18.0,0.7581488592506832,3,11.0,0.6643912425957015,5,44.0,0.1321507985251361,23,243.0
50.0,136,0,39,0,136,0,412.0,3.0294117647058822,7.439835071541344,1,6.0,0.6700832401375327,7,94.0,0.3471762558760189,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9491205473988065,0,0.0,0.9542112743871252,0,0.0,0.9342803962032002,0,0.0,0.9512340595272286,0,0.0,0.9647751016335812,6,39.0,0.26802252600314375,10,124.0,0.4054831858973274,0,0.0,0.742080175595388,1,6.0,0.303979126161909,2,24.0,0.45612547960949446,5,52.0,0.49958596757390306,7,127.0,0.4104334737691726,39,472.0
60.0,160,0,54,0,160,0,765.0,4.78125,7.033363848338942,3,8.0,0.5986765058585987,10,195.0,0.44012515573025957,0,9.0,0.8324019567090645,0,12.0,0.8031943765771538,0,0.0,0.8567653747772996,0,0.0,0.9240234021918637,3,5.0,0.47602123480738495,2,4.0,0.23211810126120366,2,6.0,0.43726909528969926,0,7.0,0.697171412600075,13,232.0,0.19465388966906763,4,17.0,0.4657960418238743,0,0.0,0.4443704293114325,1,23.0,0.5479457344779227,9,130.0,0.31659360113401686,7,187.0,0.330551004059725,54,835.0
70.0,189,0,60,3,192,0,794.0,4.201058201058201,7.256751046625813,2,6.0,0.680336430249941,3,80.0,0.3667853502108818,0,20.0,0.8903118521444559,0,2.0,0.8001867289453709,6,30.0,0.40678939983906476,3,15.0,0.5467284236403605,8,65.0,0.3175776486307345,0,0.0,0.8806869932736999,0,18.0,0.8921897199043645,0,0.0,0.9409160442507194,16,391.0,0.29648917780899453,0,0.0,0.47806619997698696,3,26.0,0.5721229039331421,2,24.0,0.5251166547471208,13,245.0,0.30365118086803944,4,59.0,0.5437910593295563,60,981.0
80.0,201,0,44,15,216,0,580.0,2.8855721393034828,7.343566590721936,5,46.0,0.506179257034004,6,56.0,0.3480768255679472,0,15.0,0.8715836479724492,0,12.0,0.8696267483941027,1,9.0,0.739805505792689,6,70.0,0.38634703904390105,0,18.0,0.505439342117308,0,18.0,0.6201490437260144,2,11.0,0.625684275097539,0,0.0,0.9331229283221713,6,264.0,0.31638023050910924,0,26.0,0.8511560437175918,0,4.0,0.6637365941438247,0,6.0,0.46931282626280824,17,396.0,0.09976578872526488,1,32.0,0.6142773790389693,44,983.0
90.0,220,0,74,20,240,0,1046.0,4.754545454545455,6.509757301081376,9,122.0,0.3817254401359933,4,31.0,0.4223106394927927,1,11.0,0.6319109634632804,1,5.0,0.7555941988261656,4,33.0,0.33464685736066263,9,147.0,0.431382850164061,1,7.0,0.7109416364546781,2,22.0,0.4712860131033072,5,64.0,0.47308654666903815,2,11.0,0.6250282447756076,9,259.0,0.2791214709236038,2,24.0,0.394644091222395,4,21.0,3.798818353889161e-05,0,0.0,0.9447942030049252,20,588.0,0.22400788518982961,1,37.0,0.6369271767760831,74,1382.0
100.0,235,0,74,37,272,0,940.0,4.0,6.752323046056746,13,237.0,0.3276959922070332,3,33.0,0.5403333441093562,2,11.0,0.3094135577779691,5,42.0,0.42487540012454084,1,7.0,0.7165981914860676,9,252.0,0.36320645974059024,0,0.0,0.2332069382682423,0,3.0,0.6596209094325989,2,28.0,0.47752699418993344,5,24.0,0.4778419614649927,19,414.0,0.223917865386362,2,24.0,0.5919319036001174,4,90.0,0.6458446779160076,1,16.0,0.7103751674791475,8,434.0,0.3210509386894213,0,18.0,0.7681372130638057,74,1633.0
110.0,239,0,75,57,296,0,1059.0,4.430962343096234,5.877708641576494,2,141.0,0.3900751044056773,3,81.0,0.7073679509769891,0,12.0,0.721835939338811,6,94.0,0.33309948298394493,1,24.0,0.7926880795396638,15,360.0,0.2714660225026779,0,4.0,0.9773183737482042,1,9.0,0.2887665199478692,6,71.0,0.39052025118325445,4,19.0,0.4510320424771813,23,631.0,0.13129890238304778,3,45.0,0.4486635287487913,2,27.0,0.5224366869887492,0,1.0,0.7005845106230257,7,437.0,0.2520297282374371,2,21.0,0.2908622560902349,75,1977.0
120.0,245,0,102,75,320,0,1601.0,6.53469387755102,5.437137588170624,8,115.0,0.3162780079454128,5,117.0,0.3936078448355699,0,23.0,0.6970602974285096,0,3.0,0.6550274795787503,2,35.0,0.5791582125418074,21,539.0,0.09932540623114564,1,6.0,0.2466173390624181,9,38.0,0.0010911399903166354,1,5.0,0.49418297605314737,0,18.0,0.8659476434342707,27,894.0,0.1632573396309472,0,7.0,0.5144551746170606,7,68.0,0.12259418421924517,0,11.0,0.8175402317632942,21,586.0,0.10744580830900807,0,12.0,0.8409531449629106,102,2477.0
130.0,266,0,98,86,352,0,1679.0,6.31203007518797,5.864432181396802,16,241.0,0.2650878962705367,11,214.0,0.2575343474135037,3,18.0,0.2539204633320752,1,2.0,0.6630158518595983,2,11.0,0.3866150310553471,11,400.0,0.127108945958815,0,24.0,0.8533413272514655,0,24.0,0.6811038513055818,0,0.0,0.9244014404383352,3,21.0,0.60702089859233,31,1177.0,0.12307125042494492,0,0.0,0.9343947563061891,7,142.0,0.3765807835583501,0,4.0,0.8561191691803272,13,448.0,0.2636576181852597,0,27.0,0.6985425026332615,98,2753.0
140.0,277,0,88,99,376,0,1805.0,6.516245487364621,6.0281397777065475,5,167.0,0.3656344467681604,11,342.0,0.42555299469737207,7,81.0,2.413582149940346e-06,1,12.0,0.7278118513076857,6,53.0,0.5000407364069092,8,414.0,0.29829585530666847,0,14.0,0.6365537195868676,0,0.0,0.8406358772873731,0,0.0,0.9462564723060062,1,6.0,0.7460671890765314,35,1509.0,0.05776294850048969,2,2.0,0.4616553398253977,2,29.0,0.427524538971404,0,26.0,0.8459032270865294,8,476.0,0.28396995353617177,2,21.0,0.2414148344777299,88,3152.0
150.0,278,1,103,121,399,0,1359.0,4.888489208633094,5.515787587375376,7,141.0,0.3321705375310635,2,154.0,0.31858571804964736,0,23.0,0.8801729697689283,1,40.0,0.7393227740513424,10,128.0,0.40525616042389967,18,540.0,0.3367681912583011,3,26.0,0.20240424647710314,1,1.0,0.7538612718760879,0,18.0,0.9072152439419657,3,12.0,0.42866770630602963,23,1318.0,0.17105761986502657,6,64.0,0.4063025732551201,1,8.0,0.6770399253885521,1,17.0,0.5127226273826422,20,631.0,0.06517962118382145,7,79.0,1.9693897290089494e-06,103,3200.0
160.0,290,5,109,137,427,0,1490.0,5.137931034482759,6.20628241204998,17,270.0,0.2823130063912585,6,119.0,0.31141059450585523,0,19.0,0.8513225068099104,3,62.0,0.48212009977862225,13,245.0,0.1903726623284342,18,720.0,0.1106402481706888,3,55.0,0.5424364166640855,4,35.0,0.0,2,15.0,0.6989671982901601,0,0.0,0.8939149179001765,8,826.0,0.3082566360675653,2,35.0,0.6141992176730761,1,18.0,0.6345801065152211,1,19.0,0.707969884123049,31,902.0,0.032228417827213064,0,28.0,0.8294167317776171,109,3368.0
170.0,279,5,121,172,451,0,2041.0,7.315412186379929,5.11341868408618,7,218.0,0.2986348954061858,2,57.0,0.6220993465926422,7,37.0,0.2818665105450099,2,16.0,0.6952822960909596,17,398.0,0.10182743760148394,18,900.0,0.0,3,5.0,0.07011123227206363,4,82.0,0.39181403661161,6,61.0,0.522127911341554,1,3.0,0.7344633652611071,6,722.0,0.33316240715311984,10,83.0,0.14266997361133332,1,6.0,0.0,1,21.0,0.7301233118206175,35,1242.0,0.1250994586097663,1,19.0,0.5134850754999344,121,3870.0
180.0,286,1,115,193,479,0,1878.0,6.566433566433567,5.066997476710295,10,232.0,0.2927286233249787,6,60.0,0.4407280923163239,1,14.0,0.5316145819301134,0,0.0,0.37949503938433443,4,233.0,0.2309693704563138,18,1106.0,0.34349408654901,0,18.0,0.8495943990220448,6,132.0,0.4036088868803176,1,22.0,0.5982249537143172,5,22.0,0.35870027750344413,19,856.0,0.21476974267759585,18,247.0,5.569093040243756e-06,0,18.0,0.9129497216082617,3,22.0,0.6048281642344344,24,1104.0,0.15619072976971918,0,18.0,0.6959917778620135,115,4104.0
190.0,303,5,136,204,507,0,1618.0,5.33993399339934,4.963719331526858,20,381.0,0.22336601127369335,3,33.0,0.47428215418432257,1,15.0,0.0038205106246196347,4,29.0,0.5643374732390664,8,267.0,0.18682848244433625,9,704.0,0.29419688988868564,0,29.0,0.8369286288159679,7,197.0,0.3456449713159504,13,92.0,0.21404511442737753,2,3.0,0.6138820232390698,32,1103.0,0.13294189782182167,18,445.0,0.21700968889878144,2,17.0,0.5717606321898546,0,0.0,0.8345807172798906,15,771.0,0.2993885922817835,2,23.0,0.6407459344692951,136,4109.0
200.0,316,6,125,214,530,0,1506.0,4.765822784810126,4.963623125242958,11,323.0,0.27233133097853973,3,72.0,0.6956974996906798,0,10.0,0.9176533648815103,0,5.0,0.5382854165588846,19,427.0,0.22582153814334477,8,745.0,0.1965133141414854,4,50.0,0.5352054773617886,4,49.0,0.6071355031943522,15,239.0,0.16213655236681368,0,0.0,0.840738990483859,36,1452.0,3.004513727599981e-06,4,317.0,0.36999805627334115,0,19.0,0.6335211095115979,0,5.0,0.885831791506322,7,666.0,0.3049970005534556,14,103.0,0.0180844878188122,125,4482.0
210.0,328,3,133,229,557,0,1829.0,5.576219512195122,4.979469248351799,7,308.0,0.3054490088463854,2,18.0,0.5596148120967591,1,13.0,0.6048698092201158,1,12.0,0.7361735026834815,24,637.0,0.1600833109538555,18,892.0,0.00014324989175937077,3,27.0,3.1680649871067165e-05,2,35.0,0.6510075798087257,15,396.0,0.34318902118040545,3,11.0,0.43353416768691394,22,1242.0,0.20202686084143115,8,315.0,0.33764045648318347,0,23.0,0.4670202298243438,0,0.0,0.8100103910491576,9,417.0,0.12312658851243537,18,301.0,0.3222478205096719,133,4647.0
