step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.25144519621972,0,0.0,0.8831911963792651,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.328242723129321,0,0.0,0.9526577189278091,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.574488174445515,0,0.0,0.9825527572764708,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.39747561341294,0,0.0,0.9372521734795004,0,0.0
75.0,14,0,1,0,14,0,5.0,0.35714285714285715,12.853750821758421,1,5.0,0.8936881335104557,1,5.0
90.0,16,0,0,0,16,0,0.0,0.0,12.93387669937365,0,0.0,0.8996222877893807,0,0.0
105.0,27,0,3,0,27,0,17.0,0.6296296296296297,12.149999516584364,3,17.0,0.8246375946648377,3,17.0
120.0,30,0,3,0,30,0,17.0,0.5666666666666667,11.002462996442661,3,17.0,0.785468941781668,3,17.0
135.0,37,0,6,1,38,0,86.0,2.324324324324324,11.48728201986898,6,86.0,0.7680519931412566,6,86.0
150.0,43,0,6,4,47,0,133.0,3.0930232558139537,10.691211013191305,6,133.0,0.742494602691823,6,133.0
165.0,54,0,15,4,58,0,303.0,5.611111111111111,9.613438611314896,15,303.0,0.6342482028257027,15,303.0
180.0,63,1,10,8,71,0,320.0,5.079365079365079,10.316409626892955,10,320.0,0.7566315209026763,10,320.0
195.0,78,0,13,9,87,0,466.0,5.9743589743589745,10.817407035251987,13,466.0,0.7364567025601058,13,466.0
210.0,83,0,23,11,94,0,747.0,9.0,9.247519798113528,23,747.0,0.6101212318793493,23,747.0
225.0,101,0,28,12,113,0,993.0,9.831683168316832,9.017240630092797,28,993.0,0.6083498583696084,28,993.0
240.0,110,0,38,22,132,0,1462.0,13.290909090909091,8.245603581849203,38,1462.0,0.5711638602866682,38,1462.0
255.0,120,0,49,24,144,0,2049.0,17.075,7.490872215045866,49,2049.0,0.5082372971182405,49,2049.0
270.0,135,0,53,25,160,0,2723.0,20.17037037037037,7.701359159197223,53,2723.0,0.5052141358595309,53,2723.0
285.0,149,0,10,32,181,0,83.0,0.5570469798657718,8.430744107381006,10,1448.0,0.5782062797980235,10,1448.0
300.0,164,0,62,34,198,0,535.0,3.2621951219512195,7.889161426981495,62,1923.0,0.46314832308448184,62,1923.0
315.0,172,0,66,39,211,0,1300.0,7.558139534883721,7.578860006012762,66,2688.0,0.43925021416063986,66,2688.0
330.0,180,0,24,45,225,0,306.0,1.7,8.210426302071243,24,1892.0,0.4884871938597916,24,1892.0
345.0,189,1,19,62,251,0,365.0,1.9312169312169312,10.891517130757796,19,543.0,0.6877485637304118,19,543.0
360.0,203,0,30,70,273,0,471.0,2.3201970443349755,10.445495983548364,30,640.0,0.6494111398211672,30,640.0
375.0,212,0,43,80,292,0,934.0,4.40566037735849,10.346053724286197,43,1103.0,0.6152054610974715,43,1103.0
390.0,210,0,64,101,311,0,1460.0,6.9523809523809526,8.692879100110744,64,1632.0,0.48228186421262,64,1632.0
405.0,200,0,64,134,334,0,1980.0,9.9,7.9793558039816785,64,2161.0,0.4928179815578827,64,2161.0
420.0,195,0,29,156,351,0,371.0,1.9025641025641025,8.334475866724006,29,1652.0,0.5195936940963287,29,1652.0
435.0,214,0,30,169,383,0,577.0,2.696261682242991,10.478154034022978,30,788.0,0.6574784458774887,30,788.0
450.0,249,1,46,170,419,0,1185.0,4.759036144578313,10.758533512415648,46,1208.0,0.6491813009997697,46,1208.0
465.0,258,0,21,187,445,0,617.0,2.391472868217054,10.76072907341489,21,988.0,0.7004334686332562,21,988.0
480.0,278,0,31,207,485,0,994.0,3.5755395683453237,11.332126823442024,31,1004.0,0.7384746880918258,31,1004.0
495.0,271,0,56,242,513,0,1249.0,4.608856088560886,9.759327081148868,56,1266.0,0.6139464516558106,56,1266.0
510.0,269,1,91,270,539,0,1786.0,6.639405204460966,8.032462025937706,91,2028.0,0.48325138997179223,91,2028.0
525.0,281,0,63,284,565,0,1337.0,4.758007117437723,7.85243109199984,63,2433.0,0.4848968092527612,63,2433.0
540.0,276,0,76,319,595,0,2299.0,8.329710144927537,8.773843109923158,76,2622.0,0.5396814839427626,76,2622.0
555.0,302,2,65,325,627,0,1208.0,4.0,8.457601345386273,65,2776.0,0.512003805449417,65,2776.0
570.0,330,0,76,332,662,0,1827.0,5.536363636363636,9.350370623859636,76,2516.0,0.5315399155755042,76,2516.0
585.0,339,0,60,354,693,0,1540.0,4.542772861356932,8.973148558780991,60,2943.0,0.53229976898221,60,2943.0
600.0,332,1,109,388,720,0,1844.0,5.554216867469879,8.040903443107684,109,3585.0,0.45043240540176294,109,3585.0
